Timestamp,Response Time (ms),Success
2024-06-16T02:39:13,304.19,1
2024-06-16T02:39:12,304.503,1
2024-06-16T02:39:13,249.177,1
2024-06-16T02:39:14,132.326,1
2024-06-16T02:39:13,190.326,1
2024-06-16T02:39:14,190.028,1
2024-06-16T02:39:14,251.482,1
2024-06-16T02:39:14,246.565,1
2024-06-16T02:39:15,191.555,1
2024-06-16T02:39:15,247.086,1
2024-06-16T02:39:15,132.499,1
2024-06-16T02:39:16,249.009,1
2024-06-16T02:39:16,253.545,1
2024-06-16T02:39:16,238.914,1
2024-06-16T02:39:17,246.485,1
2024-06-16T02:39:17,410.081,1
2024-06-16T02:39:17,303.183,1
2024-06-16T02:39:17,189.913,1
2024-06-16T02:39:18,303.454,1
2024-06-16T02:39:18,250.127,1
2024-06-16T02:39:18,247.327,1
2024-06-16T02:39:19,371.317,1
2024-06-16T02:39:19,248.848,1
2024-06-16T02:39:20,190.362,1
2024-06-16T02:39:19,538.085,1
2024-06-16T02:39:20,192.607,1
2024-06-16T02:39:20,304.941,1
2024-06-16T02:39:20,303.855,1
2024-06-16T02:39:21,247.891,1
2024-06-16T02:39:21,394.998,1
2024-06-16T02:39:22,247.78,1
2024-06-16T02:39:24,3657.68,1
2024-06-16T02:39:23,4718.02,1
2024-06-16T02:39:24,3068.18,1
2024-06-16T02:39:21,6420.02,1
2024-06-16T02:39:26,1430.89,1
2024-06-16T02:39:24,3203.21,1
2024-06-16T02:39:22,5137.82,1
2024-06-16T02:39:23,4648.38,1
2024-06-16T02:39:26,747.906,1
2024-06-16T02:39:23,4191.91,1
2024-06-16T02:39:27,491.042,1
2024-06-16T02:39:22,5257.82,1
2024-06-16T02:39:25,2992.91,1
2024-06-16T02:39:26,1294.81,1
2024-06-16T02:39:23,3774.27,1
2024-06-16T02:39:26,2092.15,1
2024-06-16T02:39:25,2364.17,1
2024-06-16T02:39:27,305.032,1
2024-06-16T02:39:25,1853.3,1
2024-06-16T02:39:27,251.51,1
2024-06-16T02:39:28,196.133,1
2024-06-16T02:39:28,500.871,1
2024-06-16T02:39:28,189.927,1
2024-06-16T02:39:29,246.805,1
2024-06-16T02:39:29,190.648,1
2024-06-16T02:39:29,248.093,1
2024-06-16T02:39:30,189.865,1
2024-06-16T02:39:31,4317.38,1
2024-06-16T02:39:30,5250,1
2024-06-16T02:39:35,877.296,1
2024-06-16T02:39:33,2033.71,1
2024-06-16T02:39:33,2819.03,1
2024-06-16T02:39:35,261.132,1
2024-06-16T02:39:31,3885.74,1
2024-06-16T02:39:32,2842.25,1
2024-06-16T02:39:34,1032.43,1
2024-06-16T02:39:30,4769.86,1
2024-06-16T02:39:34,1250.53,1
2024-06-16T02:39:32,3774.7,1
2024-06-16T02:39:34,1563.5,1
2024-06-16T02:39:33,1856.06,1
2024-06-16T02:39:32,3606.76,1
2024-06-16T02:39:33,2323.82,1
2024-06-16T02:39:30,5642.03,1
